Name			 Reference link			 Bio			 Courses Taught
Name:Vernon Blackledge			 Link:https://isearch.asu.edu/profile/17493			 Bio:Vernon Blackledge is an Emeritus Professor. He was a member of Electrical and Computer Engineering (ECE) for many years before the Department of Computer Science and Engineering (CSE) was formed. He moved to CSE when ECE became Electrical Engineering in 1984. In ECE, Blackledge operated a minicomputer, microprogramming and interfaces laboratory that built systems to do sensing, control and a good deal of work in voice and speech recognition. He was very effective working one-on-one with his students in the laboratory -- so much so that occasionally he even forgot to go to class until it was half over. During his time as a faculty member in CSE, he concentrated especially on teaching lower division courses and an occasional upper divison course in the computer interfaces area.			Course Taught:
Name:Nadya Bliss			 Link:https://isearch.asu.edu/profile/2071635			 Bio:Dr. Nadya T. Bliss is the executive director of the Global Security Initiative (GSI) at Arizona State University (ASU). In this capacity, she leads a pan-university organization advancing research, education and other programming in support of national and global security. Bliss is an experienced leader of science and technology organizations with over two decades of experience in the defense, security and higher education sectors. She has demonstrated expertise in leading and growing mission-focused research organizations, strategic planning and organizational design. She has an in-depth knowledge of the technology transition pipeline, as well as significant experience identifying advanced research capabilities to address mission and application needs. She has more than 80 publications to her credit, holds two patents, and is a sought-after invited speaker around topics related to technology development and national security. She has appeared on PBS and NPR, and in the Christian Science Monitor, Phoenix Business Journal and CIO Review. GSI serves as ASU’s main interface with the DoD, the Intelligence Community (IC) and the U.S. Department of Homeland Security (DHS). GSI is home to the Center for Cybersecurity and Trusted Foundations, the Center for Human, Artificial Intelligence and Robot Teaming, a DHS Center of Excellence, and the Center on Narrative, Disinformation and Strategic Influence. GSI’s team includes approximately over 200 faculty affiliates and employees. GSI core research programs contribute approximately $30M to ASU’s annual external research expenditures. Actively involved in service boards and national committees, Bliss currently serves as chair of the Defense Advanced Research Projects Agency Information Science and Technology study group (DARPA ISAT), and vice-chair of the Computing Community Consortium.  She also serves on the National Academies Climate Security Roundtable and the National Academies Forum on Cyber Resilience. Prior to leading GSI, Bliss was Assistant Vice President, Research Strategy at ASU and spent a decade in various positions at MIT Lincoln Laboratory, most recently as the founding Group Leader of the Computing and Analytics Group. In that role, she oversaw all of the laboratory’s high-performance computing, along with a portfolio of programs focused on advanced analytics and computer architectures for DoD and IC mission needs. Bliss is the recipient of the inaugural MIT Lincoln Laboratory Early Career Technical Achievement award. This recognition is bestowed annually to two recipients under the age of 35. She was selected for her work in parallel computing, computer architectures and graph processing algorithms, and for her exceptional leadership in anomaly detection in graph-based data. She is also the recipient of the R&D100 award for her work on PVTOL: Parallel Vector Tile Optimizing Library. Bliss holds a Professor of Practice appointment (and is a member of Graduate Faculty) in the School of Computing and Augmented Intelligence and is a Senior Global Futures Scientist in the Julie Ann Wrigley Global Futures Laboratory. She received bachelor’s and master’s degrees in Computer Science from Cornell University, and earned her doctorate in Applied Mathematics for the Life and Social Sciences (Complex Adaptive Systems Science) from Arizona State University.			Course Taught:
Name:Chris Bryan			 Link:https://isearch.asu.edu/profile/3335256/			 Bio:I am an assistant professor at Arizona State University in the School of Computing and Augmented Intelligence (SCAI), joining fall 2018. I received my doctorate from the Department of Computer Science at the University of California, Davis under the direction of Dr. Kwan-Liu Ma. My primary research is in the areas of information visualization and human-computer interaction.			Course Taught:CSE 493Honors Thesis, CSE 492Honors Directed Study, CEN 599Thesis, CSE 599Thesis, CSE 499Individualized Instruction, CSE 578Data Visualization, CSE 590Reading and Conference, CSE 494Special Topics, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, CSE 584Internship, CSE 790Reading and Conference, CSE 310Data Structures and Algorithms, Course NumberCourse Title, CEN 590Reading and Conference, CSE 478Foundations Data Visualization, ASU 101-CSEThe ASU Experience, CSE 792Research, CSE 799Dissertation
Name:Kevin Burger			 Link:https://isearch.asu.edu/profile/1097397			 Bio:Kevin Burger joined Arizona State University in 2007. Before that he was a faculty member at Rockhurst University in Kansas City, MO for seven years, at Missouri Western State University in St. Joseph, MO for two years, and Pittsburg State University in Pittsburg, KS for two years. Prior to his teaching career he worked for nine years as a software engineer at AlliedSignal Aerospace (now Honeywell), Garmin International, the University of Kansas Medical Center, and TouchNet Information Systems, where he also consulted for two years. He is an Assistant Teaching Professor in the School of Computing and Augmented Intelligence in the Ira A. Fulton Schools of Engineering. 			Course Taught:CSE 493Honors Thesis, CSE 230Computer Org/Assemb Lang Prog, CSE 205Object-Oriented Program & Data, CSE 492Honors Directed Study, Course NumberCourse Title, CSE 100Prin of Programming with C++, CEN 580Practicum, CSE 259Logic in Computer Science, CSE 325Embedded Microprocessor System, CSE 580Practicum
Name:K. Selçuk Candan			 Link:https://isearch.asu.edu/profile/20861			 Bio:K. Selcuk Candan is a professor of computer science and engineering at the Arizona State University. He joined ASU in August 1997, after receiving his doctorate from the Computer Science Department at the University of Maryland at College Park. He has worked extensively on the integration and presentation of heterogeneous and distributed information and information sources. His research interests include multimedia and web data management. His current research projects include quality adaptive data processing and indexing for sensory data, distributed data management and Internet technologies for efficient dynamic content delivery, and adaptive information management for creating technologies helping blind individuals. His research projects are funded by the National Science Foundation, Department of Defense, and Department of Education (Rehabilitation Services Administration). He has published more than 80 articles in respected journals and conferences in related areas. He served in the organization and program committees of various international conferences. Most recently, he is an editorial board member of the Very Large Databases (VLDB) journal and the Journal of Multimedia.  			Course Taught:CSE 584Internship, CSE 515Multimedia and Web Databases, CSE 510Database Mgmt Sys Implementn, CSE 590Reading and Conference, CSE 790Reading and Conference, Course NumberCourse Title, CEN 599Thesis, CSE 599Thesis, DSE 792Research, CSE 499Individualized Instruction, CEN 584Internship, CSE 792Research, CSE 799Dissertation, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration
Name:Zhichao Cao			 Link:https://search.asu.edu/profile/4082902			 Bio:Zhichao Cao is an assistant professor in the School of Computing and Augmented Intelligence at Arizona State University. He leads the Intelligent Data Infrastructure (IDI) research lab, where he conducts research in the areas of database systems (e.g., key-value stores, graph databases, and timeseries databases), storage systems (e.g., file systems, cloud storage, and deduplication systems), and next-generation data infrastructure (e.g., disaggregated infrastructure, computing-in-X, and wireless datacenter). His research interests also lie in the design and development of data management systems for new storage technologies, such as SMR, IMR, NVM, ZNS, and DNA. Moreover, Prof. Cao's research also encompasses big data systems, with a focus on the development of query engines for large-scale scientific computing in HPC and storage solutions for AI/ML platforms. Prior to joining ASU, Prof. Cao worked as a research scientist at Facebook, where he contributed to storage and database research from 2018 to 2021. He earned his bachelor's degree in Automation from Tsinghua University in 2013 and his doctoral degree in Computer Science from the University of Minnesota, Twin Cities, in 2020. [Important Notice] I'm now recruiting highly motivated graduate and undergraduate students (including 2 Ph.D. students starting from 2024 Spring or Fall). If you are interested in databases, storage systems, data infrastructure, and new data persisting techniques, please send your CV and statements to Zhichao.Cao@asu.edu.			Course Taught:CSE 584Internship, CSE 330Operating Systems, Course NumberCourse Title, CSE 511Data Processing at Scale, CSE 599Thesis, CSE 792Research, CSE 580Practicum
Name:Yinong Chen			 Link:https://isearch.asu.edu/profile/328180			 Bio:Yinong Chen is a teaching professor in the School of Computing and Augmented Intelligence in the Ira A. Fulton Schools of Engineering at Arizona State University. He received his doctorate from the University of Karlsruhe / Karlsruhe Institute of Technology (KIT), Germany, in 1993. He did postdoctoral research at Karlsruhe and at LAAS-CNRS in France in 1994 and 1995. From 1994 to 2000, he was a lecturer and then senior lecturer in the School of Computer Science at the University of the Witwatersrand, Johannesburg, South Africa. Chen joined Arizona State University in 2001. He's (co-) authored more than 10 textbooks and over 500 research papers. He is on the editorial boards of several journals, including Journal of Artificial Intelligence and Technology, Journal of Systems and Software, Simulation Modeling Practice and Theory, and International Journal of Simulation and Process Modelling. Chen's areas of expertise include: Software Engineering, Service-Oriented Computing, Visual Programming, Big data Processing and Machine Learning, Robotics and AI, and Computer Science Education.			Course Taught:CSE 493Honors Thesis, CSE 598Special Topics, CSE 240Intro to Programming Languages, CSE 492Honors Directed Study, CSE 445Distributed Software Developmt, CEN 580Practicum, CSE 599Thesis, CSE 499Individualized Instruction, CSE 593Applied Project, CEN 584Internship, CSE 595Continuing Registration, CSE 565Software Verif/Validation/Test, CSE 580Practicum, CSE 220Programming for Computer Engr, CSE 446Software Integration and Engr, CSE 790Reading and Conference, Course NumberCourse Title, ASU 101-CSEThe ASU Experience, CSE 792Research, CSE 799Dissertation, CEN 792Research
Name:Charles Colbourn			 Link:https://isearch.asu.edu/profile/384970			 Bio:Charles Colbourn is a professor of computer science and engineering in the School of Computing and Augmented Intelligence of  in the Ira A. Fulton Schools of Engineering at Arizona State University. He joined ASU in 2001. He previously held faculty positions at the University of Saskatchewan and the University of Waterloo, and was the Dorothean Professor of Computer Science at the University of Vermont. He is co-editor of the CRC "Handbook of Combinatorial Designs" and author of "Triple Systems and The Combinatorics of Network Reliability," both from Oxford University Press. He is editor-in-chief of the Journal of Combinatorial Designs. He has more than 300 refereed journal papers, primarily concerning applications of combinatorial designs in networking, computing, and communications. He is the recipient of the 2003 Euler Medal for Lifetime Achievement in Research.			Course Taught:CSE 493Honors Thesis, CSE 551Foundations of Algorithms, CSE 420Computer Architecture I, CSE 492Honors Directed Study, CSE 599Thesis, CSE 499Individualized Instruction, CSE 590Reading and Conference, APM 792Research, CSE 494Special Topics, CSE 355Intro Theoretical Computer Sci, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, CSE 584Internship, CSE 555Theory of Computation, CSE 790Reading and Conference, Course NumberCourse Title, CSE 591Seminar, CSE 792Research, CSE 799Dissertation
Name:James Collofello			 Link:https://isearch.asu.edu/profile/25234			 Bio:Jim Collofello serves as vice dean of academic and student affairs and has held this position since 2006. In this capacity, he leads the school’s student recruitment and retention, career development and placement, K-12 programming, new curriculum development, accreditation and oversight of Fulton Difference programming. The Fulton Difference consists of innovative programs operated at scale to provide students with opportunities to develop and enhance their research, leadership, project development and entrepreneurship skills. Major Fulton Difference programs include engineering student organizations, Fulton Undergraduate Research Initiative (FURI), Fulton Grand Challenge Scholars Program (GCSP), Undergraduate Teaching Assistant (UGTA) program and Engineering Projects in Community Service (EPICS). Collofello is also a professor of computer science and software engineering. His teaching and research interests lie in the software engineering area with an emphasis on software project management and software quality assurance. He has been heavily involved with local software development firms in addressing their applied research and education needs. Professor Collofello is also involved in research addressing engineering retention.			Course Taught:CSE 493Honors Thesis, FSE 580Practicum, CSE 599Thesis, CSE 593Applied Project, CSE 590Reading and Conference, FSE 399Cooperative Work Experience, CSE 566Software Proj/Process/Qual Mgt, SER 580Practicum, CSE 595Continuing Registration, CSE 580Practicum, CSE 565Software Verif/Validation/Test, CSE 795Continuing Registration, CSE 584Internship, CSE 790Reading and Conference, FSE 484Internship, Course NumberCourse Title, CSE 591Seminar, CSE 792Research, CSE 799Dissertation
Name:Jedidiah Crandall			 Link:https://isearch.asu.edu/profile/3584805			 Bio:https://jedcrandall.github.io/			Course Taught:CSE 548Adv Computer Network Security, CSE 492Honors Directed Study, CSE 790Reading and Conference, Course NumberCourse Title, CSE 792Research, CSE 468Computer Network Security, CSE 539Applied Cryptography, CSE 599Thesis, CSE 365Information Assurance, CSE 590Reading and Conference, CSE 799Dissertation, CSE 580Practicum, CSE 795Continuing Registration
Name:Partha Dasgupta			 Link:https://isearch.asu.edu/profile/75201			 Bio:Associate Professor Partha Dasgupta joined ASU in 1991. Prior to ASU, he held an appointment with Georgia Tech. He held visiting faculty positions at New York University in 1993-1994 and 1998-1999. National Science Foundation, DARPA and other sources have consistently funded Dasgupta’s research. Website: http://parthad.com  			Course Taught:CSE 584Internship, CSE 330Operating Systems, CSE 790Reading and Conference, Course NumberCourse Title, CSE 792Research, CSE 539Applied Cryptography, CEN 580Practicum, CSE 599Thesis, CSE 531Distrib/Multiprocess Oper Sys, CEN 584Internship, CSE 590Reading and Conference, CSE 799Dissertation, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration
Name:Hasan Davulcu			 Link:https://isearch.asu.edu/profile/515694			 Bio:Dr. Hasan Davulcu is a professor in the School of Computing and Augmented Intelligence at Arizona State University. Dr. Davulcu developed patented AI and machine learning algorithms to mine information from multi-lingual text, image and video sources on social networks. His research in data mining and machine learning were published at Association for Computing Machinery (ACM) and IEEE Computer Society conferences and journals. His sociocultural modeling work in US DOD Minerva Research Initiative funded "Funding Allies for the War of Words'' project was recognized with a 2011 HSCB Focus Exceptional Scientific Achievement Award by the Office of the Assistant Secretary of Defense for Research and Engineering OASD (R&E). He is currently the PI of an NSF Partnership for Innovation (PFI:BIC) grant focusing on behavioral analytics for detecting financial fraud and PI of a DoD Minerva Research Initiative project titled "New Analytics for Measuring and Countering Social Influence and Persuasion of Extremist Groups''. Davulcu holds a B.S. degree in mathematics from the Middle East Technical University (METU), Turkey and, M.S. and Ph.D. degrees in computer science from Stony Brook University, New York. He is co-founder & CTO of ARTIS MAGI -- a startup developing and deploying highly complex and proprietary algorithms derived from social science and artificial intelligence to pinpoint pivotal target audiences and sway them in desirable directions.			Course Taught:CSE 493Honors Thesis, CSE 584Internship, CSE 492Honors Directed Study, CSE 590Reading and Conference, CSE 412Database Management, CSE 790Reading and Conference, Course NumberCourse Title, CSE 792Research, SER 580Practicum, CEN 580Practicum, CSE 599Thesis, CSE 499Individualized Instruction, CSE 595Continuing Registration, CSE 573Semantic Web Mining, CSE 799Dissertation, CSE 580Practicum, CSE 795Continuing Registration
Name:Yuli Deng			 Link:https://isearch.asu.edu/profile/1554300			 Bio:Dr. Yuli Deng is an Assistant Teaching Professor at GOEE and SCAI in ASU. His research interests include adaptive learning technology in cybersecurity education and the advancement of cybersecurity technologies through the application of multi-disciplinary approaches such as artificial intelligence and machine learning. He received his doctoral degree in Computer Science from Arizona State University in 2021.			Course Taught:CSE 548Adv Computer Network Security, Course NumberCourse Title, CSE 110Principles of Programming, CSE 468Computer Network Security, CSE 578Data Visualization, CSE 593Applied Project, ASU 101-CSEThe ASU Experience, CSE 571Artificial Intelligence, CSE 546Cloud Computing, ASU 101-CAIThe ASU Experience
Name:Adam Doupé			 Link:https://isearch.asu.edu/profile/2412296			 Bio:Adam Doupé is an Associate Professor in the School of Computing and Augmented Intelligence (SCAI) and is the Director of the Center for Cybersecurity and Trusted Foundations (CTF) at Arizona State University. Prior to joining ASU, he received a master's degree (2009) and doctorate (2014) in computer science from University of California in Santa Barbara. His research interests include cybercrime, vulnerability analysis, web security, mobile security, network security, and hacking competitions. He was awarded the Best Teacher Award and Outstanding Assistant Professor Award in the Fulton Schools of Engineering at ASU in 2017, and he received the National Science Foundation (NSF) CAREER award in 2017.			Course Taught:CSE 493Honors Thesis, CSE 584Internship, CSE 492Honors Directed Study, CSE 590Reading and Conference, CSE 790Reading and Conference, Course NumberCourse Title, CEN 795Continuing Registration, CSE 691Seminar, CSE 599Thesis, CSE 499Individualized Instruction, CSE 365Information Assurance, CSE 792Research, CEN 584Internship, CSE 799Dissertation, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, CEN 792Research
Name:Xuerong Feng			 Link:https://isearch.asu.edu/profile/1283831			 Bio:Xuerong Feng joined Arizona State University in 2008, where she is currently an associate teaching professor of the computer science and engineering program in the School of Computing and Augmented Intelligence. From 2005 to 2008, she was a tenure track assistant professor of the computer science department at Valdosta State University, Georgia. Also, she has five years of industry experience in Singapore. She received her doctorate in Computer Science in 2005 from University of Texas, Dallas. Feng's general research interests are on algorithm design and analysis, including network, Bioinformatics algorithms. etc.			Course Taught:CSE 205Object-Oriented Program & Data, CSE 310Data Structures and Algorithms, CSE 484Internship, Course NumberCourse Title, CSE 294Special Topics, CSE 110Principles of Programming, CSE 100Prin of Programming with C++, CSE 355Intro Theoretical Computer Sci, CSE 180Computer Literacy, CSE 580Practicum
Name:Stephanie Forrest			 Link:https://isearch.asu.edu/profile/3182641			 Bio:Forrest is a Professor of Computer Science in SCAI, and she directs the Biodesign Center for Biocomputation, Security and Society. She is a computer scientist who studies the biology of computation and computation in biology, including biological modeling of immunological processes and evolutionary diseases, cybersecurity, software engineering, and evolutionary computation.   Website: https://profsforrest.github.io/homepage/			Course Taught:BDE 799Dissertation, CSE 598Special Topics, BDE 792Research, CSE 590Reading and Conference, CSE 790Reading and Conference, Course NumberCourse Title, CEN 795Continuing Registration, CSE 599Thesis, CSE 499Individualized Instruction, BDE 795Continuing Registration, CSE 792Research, CSE 799Dissertation, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration
